CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_25,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_25,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_25,Unsheltered_Homeless_Unaccompanied_Youth_Under_25,Homeless_Unaccompanied_Youth_Under_18,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_18,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_18,Unsheltered_Homeless_Unaccompanied_Youth_Under_18,Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_ES_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_TH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_SH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_Total_Homeless_Unaccompanied_Youth_Age_18_24,Unsheltered_Homeless_Unaccompanied_Youth_Age_18_24,Homeless_Parenting_Youth_Under_25,Sheltered_ES_Homeless_Parenting_Youth_Under_25,Sheltered_TH_Homeless_Parenting_Youth_Under_25,Sheltered_Total_Homeless_Parenting_Youth_Under_25,Unsheltered_Homeless_Parenting_Youth_Under_25,Homeless_Parenting_Youth_Under_18,Sheltered_ES_Homeless_Parenting_Youth_Under_18,Sheltered_TH_Homeless_Parenting_Youth_Under_18,Sheltered_Total_Homeless_Parenting_Youth_Under_18,Unsheltered_Homeless_Parenting_Youth_Under_18,Homeless_Parenting_Youth_Age_18_24,Sheltered_ES_Homeless_Parenting_Youth_Age_18_24,Sheltered_TH_Homeless_Parenting_Youth_Age_18_24,Sheltered_Total_Homeless_Parenting_Youth_Age_18_24,Unsheltered_Homeless_Parenting_Youth_Age_18_24,Homeless_Children_of_Parenting_Youth,Sheltered_ES_Homeless_Children_of_Parenting_Youth,Sheltered_TH_Homeless_Children_of_Parenting_Youth,Sheltered_Total_Homeless_Children_of_Parenting_Youth,Unsheltered_Homeless_Children_of_Parenting_Youth,Count_Year
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",,228,167,21,0,188,40,167,121,10,0,131,36,61,46,11,57,4,19,15,3,18,1,37,21,0,21,16,33,21,0,21,12,4,0,0,4,18,14,1,0,15,3,15,10,3,0,13,2,3,2,1,0,3,0,12,8,2,0,10,2,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,2017
MI-513,"Marquette, Alger Counties CoC",Rural CoCs,70,40,21,0,61,9,34,24,1,0,25,9,36,16,20,36,0,12,5,7,12,0,4,3,0,3,1,4,3,0,3,1,0,0,0,0,1,0,1,0,1,0,4,3,0,0,3,1,0,0,0,0,0,0,4,3,0,0,3,1,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0,2018
MI-513,"Marquette, Alger Counties CoC",,84,50,31,0,81,3,34,29,2,0,31,3,50,21,29,50,0,16,7,9,16,0,4,4,0,4,0,4,4,0,4,0,0,0,0,0,1,1,0,0,1,0,4,4,0,0,4,0,0,0,0,0,0,0,4,4,0,0,4,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,2017
MI-514,Battle Creek/Calhoun County CoC,Other Urban CoCs,236,126,63,6,195,41,172,73,52,6,131,41,64,53,11,64,0,19,15,4,19,0,25,16,0,16,9,25,16,0,16,9,0,0,0,0,44,13,28,0,41,3,13,4,1,0,5,8,2,0,0,0,0,2,11,4,1,0,5,6,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,2018
MI-514,Battle Creek/Calhoun County CoC,,204,102,73,0,175,29,152,76,52,0,128,24,52,26,21,47,5,16,9,6,15,1,22,13,0,13,9,22,13,0,13,9,0,0,0,0,23,12,10,0,22,1,18,12,4,0,16,2,7,6,1,0,7,0,11,6,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
MI-515,Monroe City & County CoC,Suburban CoCs,209,128,71,0,199,10,135,64,64,0,128,7,74,64,7,71,3,20,17,2,19,1,24,18,0,18,6,12,9,0,9,3,12,9,9,3,11,2,9,0,11,0,25,16,2,0,18,7,3,1,2,0,3,0,22,15,0,0,15,7,5,3,2,5,0,1,0,1,1,0,4,3,1,4,0,5,3,2,5,0,2018
MI-515,Monroe City & County CoC,,193,122,68,0,190,3,122,55,64,0,119,3,71,67,4,71,0,22,20,2,22,0,13,13,0,13,0,8,8,0,8,0,5,5,5,0,17,3,13,0,16,1,14,8,6,0,14,0,4,1,3,0,4,0,10,7,3,0,10,0,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,2017
MI-516,"Norton Shores, Muskegon City & County CoC",Suburban CoCs,159,114,11,0,125,34,106,80,0,0,80,26,53,34,11,45,8,21,13,5,18,3,19,12,0,12,7,13,6,0,6,7,6,6,6,0,4,4,0,0,4,0,13,9,0,0,9,4,0,0,0,0,0,0,13,9,0,0,9,4,7,1,5,6,1,0,0,0,0,0,7,1,5,6,1,8,1,6,7,1,2018
MI-516,"Norton Shores, Muskegon City & County CoC",,135,108,17,0,125,10,87,77,0,0,77,10,48,31,17,48,0,16,11,5,16,0,2,1,0,1,1,2,1,0,1,1,0,0,0,0,5,5,0,0,5,0,4,2,0,0,2,2,0,0,0,0,0,0,4,2,0,0,2,2,10,4,6,10,0,0,0,0,0,0,10,4,6,10,0,17,6,11,17,0,2017
MI-517,Jackson City & County CoC,Rural CoCs,81,72,0,0,72,9,65,56,0,0,56,9,16,16,0,16,0,6,6,0,6,0,10,8,0,8,2,10,8,0,8,2,0,0,0,0,6,5,0,0,5,1,3,3,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,2018
MI-517,Jackson City & County CoC,,140,57,69,0,126,14,52,33,11,0,44,8,88,24,58,82,6,26,8,17,25,1,2,2,0,2,0,2,2,0,2,0,0,0,0,0,1,1,0,0,1,0,5,4,1,0,5,0,1,1,0,0,1,0,4,3,1,0,4,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,2,2,0,2017
MI-518,Livingston County CoC,Suburban CoCs,90,34,44,0,78,12,46,18,21,0,39,7,44,16,23,39,5,13,4,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,1,13,6,7,0,13,0,4,4,0,0,4,0,9,2,7,0,9,0,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,5,2,3,5,0,2018
MI-518,Livingston County CoC,,103,47,44,0,91,12,56,28,21,0,49,7,47,19,23,42,5,16,7,8,15,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,11,4,7,0,11,0,1,1,0,0,1,0,10,3,7,0,10,0,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0,2017
MI-519,Holland/Ottawa County CoC,Suburban CoCs,226,139,71,0,210,16,133,78,41,0,119,14,93,61,30,91,2,30,20,9,29,1,4,2,0,2,2,4,2,0,2,2,0,0,0,0,5,4,1,0,5,0,15,11,1,0,12,3,0,0,0,0,0,0,15,11,1,0,12,3,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0,2018
MI-519,Holland/Ottawa County CoC,,258,103,147,0,250,8,112,63,41,0,104,8,146,40,106,146,0,45,14,31,45,0,4,3,0,3,1,4,3,0,3,1,0,0,0,0,2,2,0,0,2,0,12,8,3,0,11,1,0,0,0,0,0,0,12,8,3,0,11,1,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,7,3,4,7,0,2017
MI-523,Eaton County CoC,Suburban CoCs,122,40,77,0,117,5,10,4,1,0,5,5,112,36,76,112,0,30,10,20,30,0,4,3,0,3,1,1,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,7,0,0,0,0,0,0,7,2,5,7,0,12,1,11,12,0,2018
MI-523,Eaton County CoC,,107,32,69,0,101,6,11,6,1,0,7,4,96,26,68,94,2,28,9,18,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,2,0,2017
MN-500,Minneapolis/Hennepin County CoC,Major Cities,3013,1884,709,16,2609,404,1692,957,315,16,1288,404,1321,927,394,1321,0,348,221,127,348,0,490,349,11,360,130,488,347,11,358,130,2,2,2,0,138,62,52,2,116,22,207,82,88,0,170,37,26,10,11,0,21,5,181,72,77,0,149,32,52,20,32,52,0,2,1,1,2,0,50,19,31,50,0,69,28,41,69,0,2018
MN-500,Minneapolis/Hennepin County CoC,,3057,1657,1102,0,2759,298,1395,880,221,0,1101,294,1662,777,881,1658,4,453,227,224,451,2,342,281,0,281,61,318,259,0,259,59,24,22,22,2,110,64,43,0,107,3,243,81,141,0,222,21,44,12,32,0,44,0,199,69,109,0,178,21,135,52,82,134,1,3,0,3,3,0,132,52,79,131,1,273,89,183,272,1,2017
MN-501,Saint Paul/Ramsey County CoC,Other Urban CoCs,1424,847,448,0,1295,129,886,589,187,0,776,110,538,258,261,519,19,176,81,90,171,5,235,179,0,179,56,195,139,0,139,56,40,40,40,0,60,35,22,0,57,3,116,54,41,0,95,21,19,8,9,0,17,2,97,46,32,0,78,19,41,10,28,38,3,4,0,4,4,0,37,10,24,34,3,58,14,42,56,2,2018
MN-501,Saint Paul/Ramsey County CoC,,1438,784,488,0,1272,166,905,538,207,0,745,160,533,246,281,527,6,183,84,97,181,2,269,163,0,163,106,239,135,0,135,104,30,28,28,2,69,45,14,0,59,10,144,63,59,0,122,22,19,12,5,0,17,2,125,51,54,0,105,20,51,21,29,50,1,5,2,3,5,0,46,19,26,45,1,72,28,41,69,3,2017
MN-502,Rochester/Southeast Minnesota CoC,Rural CoCs,497,193,238,0,431,66,232,90,83,0,173,59,265,103,155,258,7,78,32,44,76,2,32,19,0,19,13,25,12,0,12,13,7,7,7,0,13,8,2,0,10,3,90,21,56,0,77,13,1,0,0,0,0,1,89,21,56,0,77,12,16,3,13,16,0,1,1,0,1,0,15,2,13,15,0,16,3,13,16,0,2018
MN-502,Rochester/Southeast Minnesota CoC,,552,167,328,0,495,57,262,46,159,0,205,57,290,121,169,290,0,91,39,52,91,0,38,19,0,19,19,29,10,0,10,19,9,9,9,0,10,3,3,0,6,4,133,7,119,0,126,7,7,1,6,0,7,0,126,6,113,0,119,7,19,8,11,19,0,0,0,0,0,0,19,8,11,19,0,24,10,14,24,0,2017
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Suburban CoCs,625,322,91,0,413,212,345,169,29,0,198,147,280,153,62,215,65,93,50,22,72,21,78,42,0,42,36,63,38,0,38,25,15,4,4,11,21,11,7,0,18,3,77,34,14,0,48,29,11,3,0,0,3,8,66,31,14,0,45,21,4,0,2,2,2,0,0,0,0,0,4,0,2,2,2,4,0,2,2,2,2018
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",,544,323,111,0,434,110,258,157,30,0,187,71,286,166,81,247,39,93,56,27,83,10,74,38,0,38,36,56,29,0,29,27,18,9,9,9,22,13,9,0,22,0,48,26,11,0,37,11,5,3,2,0,5,0,43,23,9,0,32,11,18,7,9,16,2,0,0,0,0,0,18,7,9,16,2,20,9,9,18,2,2017
MN-504,Northeast Minnesota CoC,Rural CoCs,90,24,23,0,47,43,57,17,9,0,26,31,33,7,14,21,12,11,2,6,8,3,12,5,0,5,7,10,3,0,3,7,2,2,2,0,4,1,0,0,1,3,10,2,6,0,8,2,0,0,0,0,0,0,10,2,6,0,8,2,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2018
MN-504,Northeast Minnesota CoC,,99,21,37,0,58,41,63,17,17,0,34,29,36,4,20,24,12,12,1,7,8,4,8,1,0,1,7,8,1,0,1,7,0,0,0,0,3,1,2,0,3,0,16,5,10,0,15,1,1,1,0,0,1,0,15,4,10,0,14,1,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,6,2,4,6,0,2017
MN-505,St. Cloud/Central Minnesota CoC,Rural CoCs,584,226,253,0,479,105,278,111,81,0,192,86,306,115,172,287,19,104,37,62,99,5,64,40,0,40,24,50,26,0,26,24,14,14,14,0,38,10,15,0,25,13,77,6,47,0,53,24,3,1,0,0,1,2,74,5,47,0,52,22,28,2,26,28,0,0,0,0,0,0,28,2,26,28,0,30,4,26,30,0,2018
MN-505,St. Cloud/Central Minnesota CoC,,862,260,373,0,633,229,452,131,117,0,248,204,410,129,256,385,25,127,42,78,120,7,17,8,0,8,9,15,6,0,6,9,2,2,2,0,33,10,11,0,21,12,147,23,70,0,93,54,17,7,5,0,12,5,130,16,65,0,81,49,21,1,19,20,1,0,0,0,0,0,21,1,19,20,1,27,2,24,26,1,2017
MN-506,Northwest Minnesota CoC,Rural CoCs,274,91,175,0,266,8,109,55,46,0,101,8,165,36,129,165,0,55,14,41,55,0,22,19,0,19,3,19,16,0,16,3,3,3,3,0,4,4,0,0,4,0,37,7,26,0,33,4,7,5,2,0,7,0,30,2,24,0,26,4,17,0,17,17,0,0,0,0,0,0,17,0,17,17,0,22,0,22,22,0,2018
MN-506,Northwest Minnesota CoC,,288,86,199,0,285,3,103,45,55,0,100,3,185,41,144,185,0,59,11,48,59,0,2,2,0,2,0,2,2,0,2,0,0,0,0,0,3,2,1,0,3,0,49,17,31,0,48,1,18,13,5,0,18,0,31,4,26,0,30,1,21,2,19,21,0,0,0,0,0,0,21,2,19,21,0,25,3,22,25,0,2017
MN-508,Moorhead/West Central Minnesota CoC,Rural CoCs,246,121,119,0,240,6,112,71,35,0,106,6,134,50,84,134,0,40,17,23,40,0,25,21,0,21,4,22,18,0,18,4,3,3,3,0,10,6,3,0,9,1,17,9,8,0,17,0,4,4,0,0,4,0,13,5,8,0,13,0,13,1,12,13,0,0,0,0,0,0,13,1,12,13,0,19,1,18,19,0,2018
MN-508,Moorhead/West Central Minnesota CoC,,215,125,87,0,212,3,104,85,16,0,101,3,111,40,71,111,0,36,14,22,36,0,18,18,0,18,0,18,18,0,18,0,0,0,0,0,8,8,0,0,8,0,15,5,10,0,15,0,1,0,1,0,1,0,14,5,9,0,14,0,12,0,12,12,0,0,0,0,0,0,12,0,12,12,0,17,0,17,17,0,2017
MN-509,Duluth/St.Louis County CoC,Rural CoCs,425,118,159,0,277,148,261,98,40,0,138,123,164,20,119,139,25,58,5,45,50,8,108,27,0,27,81,98,21,0,21,77,10,6,6,4,12,2,7,0,9,3,69,30,21,0,51,18,25,20,5,0,25,0,44,10,16,0,26,18,23,1,19,20,3,0,0,0,0,0,23,1,19,20,3,22,2,17,19,3,2018
MN-509,Duluth/St.Louis County CoC,,505,137,175,0,312,193,314,85,47,0,132,182,191,52,128,180,11,65,16,45,61,4,138,22,0,22,116,128,12,0,12,116,10,10,10,0,21,8,5,0,13,8,74,12,30,0,42,32,19,7,12,0,19,0,55,5,18,0,23,32,25,1,19,20,5,2,0,0,0,2,23,1,19,20,3,26,1,19,20,6,2017
MN-511,Southwest Minnesota CoC,Rural CoCs,65,29,36,0,65,0,21,11,10,0,21,0,44,18,26,44,0,16,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,9,1,8,0,9,0,0,0,0,0,0,0,9,1,8,0,9,0,6,1,5,6,0,0,0,0,0,0,6,1,5,6,0,4,1,3,4,0,2018
MN-511,Southwest Minnesota CoC,,108,60,40,0,100,8,43,29,10,0,39,4,65,31,30,61,4,21,11,9,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,20,12,7,0,19,1,5,5,0,0,5,0,15,7,7,0,14,1,8,3,5,8,0,0,0,0,0,0,8,3,5,8,0,11,5,6,11,0,2017
MO-500,St. Louis County CoC,Suburban CoCs,450,198,226,0,424,26,258,110,122,0,232,26,192,88,104,192,0,72,27,45,72,0,45,38,0,38,7,27,20,0,20,7,18,18,18,0,16,9,5,0,14,2,128,18,107,0,125,3,25,8,17,0,25,0,103,10,90,0,100,3,42,2,40,42,0,0,0,0,0,0,42,2,40,42,0,50,2,48,50,0,2018
MO-500,St. Louis County CoC,,462,211,207,0,418,44,254,90,120,0,210,44,208,121,87,208,0,72,39,33,72,0,73,56,0,56,17,44,27,0,27,17,29,29,29,0,18,7,8,0,15,3,155,31,112,0,143,12,27,19,8,0,27,0,128,12,104,0,116,12,42,3,39,42,0,0,0,0,0,0,42,3,39,42,0,51,3,48,51,0,2017
MO-501,St.Louis City CoC,Other Urban CoCs,949,561,291,0,852,97,619,345,177,0,522,97,330,216,114,330,0,112,73,39,112,0,95,74,0,74,21,84,63,0,63,21,11,11,11,0,136,18,114,0,132,4,54,22,25,0,47,7,1,0,1,0,1,0,53,22,24,0,46,7,28,19,9,28,0,1,0,1,1,0,27,19,8,27,0,38,26,12,38,0,2018
MO-501,St.Louis City CoC,,1336,650,544,0,1194,142,821,444,235,0,679,142,515,206,309,515,0,172,66,106,172,0,151,81,0,81,70,144,74,0,74,70,7,7,7,0,169,28,130,0,158,11,77,44,25,0,69,8,4,3,1,0,4,0,73,41,24,0,65,8,59,28,31,59,0,0,0,0,0,0,59,28,31,59,0,77,29,48,77,0,2017
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",Suburban CoCs,532,230,140,0,370,162,278,55,70,0,125,153,254,175,70,245,9,92,61,28,89,3,33,14,0,14,19,23,8,0,8,15,10,6,6,4,9,3,1,0,4,5,65,13,27,0,40,25,5,3,2,0,5,0,60,10,25,0,35,25,5,2,2,4,1,1,0,1,1,0,4,2,1,3,1,7,4,2,6,1,2018
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",,578,235,116,0,351,227,306,55,90,0,145,161,272,180,26,206,66,91,66,9,75,16,36,22,0,22,14,26,12,0,12,14,10,10,10,0,11,4,0,0,4,7,81,35,26,0,61,20,23,18,3,0,21,2,58,17,23,0,40,18,9,7,2,9,0,0,0,0,0,0,9,7,2,9,0,16,14,2,16,0,2017
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Other Urban CoCs,479,240,42,0,282,197,314,118,7,0,125,189,165,122,35,157,8,54,39,12,51,3,135,58,0,58,77,107,32,0,32,75,28,26,26,2,28,5,0,0,5,23,52,17,4,0,21,31,13,8,0,0,8,5,39,9,4,0,13,26,7,4,3,7,0,0,0,0,0,0,7,4,3,7,0,8,4,4,8,0,2018
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",,455,218,37,0,255,200,335,134,6,0,140,195,120,84,31,115,5,43,30,11,41,2,190,78,0,78,112,155,45,0,45,110,35,33,33,2,34,7,1,0,8,26,38,14,1,0,15,23,5,5,0,0,5,0,33,9,1,0,10,23,7,3,4,7,0,1,1,0,1,0,6,2,4,6,0,7,3,4,7,0,2017
MO-602,"Joplin/Jasper, Newton Counties CoC",Rural CoCs,275,155,65,0,220,55,227,130,45,0,175,52,48,25,20,45,3,19,9,9,18,1,32,22,0,22,10,27,17,0,17,10,5,5,5,0,65,26,28,0,54,11,12,10,0,0,10,2,6,6,0,0,6,0,6,4,0,0,4,2,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0,2018
MO-602,"Joplin/Jasper, Newton Counties CoC",,270,165,64,0,229,41,195,127,29,0,156,39,75,38,35,73,2,26,13,12,25,1,45,33,0,33,12,41,29,0,29,12,4,4,4,0,53,19,29,0,48,5,7,5,0,0,5,2,1,1,0,0,1,0,6,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Other Urban CoCs,204,104,53,17,174,30,103,43,13,17,73,30,101,61,40,101,0,33,20,13,33,0,62,24,17,41,21,54,16,17,33,21,8,8,8,0,14,7,1,4,12,2,9,2,2,0,4,5,0,0,0,0,0,0,9,2,2,0,4,5,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,4,1,3,4,0,2018
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",,210,115,59,18,192,18,118,62,20,18,100,18,92,53,39,92,0,28,16,12,28,0,62,30,18,48,14,50,18,18,36,14,12,12,12,0,9,1,5,2,8,1,7,2,4,0,6,1,3,1,2,0,3,0,4,1,2,0,3,1,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,8,6,2,8,0,2017
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",Major Cities,1798,1026,435,13,1474,324,1200,703,178,13,894,306,598,323,257,580,18,187,102,81,183,4,416,233,13,246,170,369,192,13,205,164,47,41,41,6,143,60,35,13,108,35,115,51,52,0,103,12,15,4,10,0,14,1,100,47,42,0,89,11,31,19,11,30,1,2,2,0,2,0,29,17,11,28,1,36,23,12,35,1,2018
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",,1671,896,539,7,1442,229,1127,589,307,7,903,224,544,307,232,539,5,163,90,72,162,1,330,227,4,231,99,281,182,4,186,95,49,45,45,4,170,67,71,7,145,25,124,39,77,0,116,8,11,5,6,0,11,0,113,34,71,0,105,8,15,9,5,14,1,0,0,0,0,0,15,9,5,14,1,27,15,8,23,4,2017
MO-606,Missouri Balance of State CoC,Rural CoCs,1345,777,198,8,983,362,872,445,100,8,553,319,473,332,98,430,43,150,107,31,138,12,250,166,8,174,76,153,80,8,88,65,97,86,86,11,112,69,26,2,97,15,106,61,25,0,86,20,35,26,3,0,29,6,71,35,22,0,57,14,13,10,3,13,0,0,0,0,0,0,13,10,3,13,0,14,11,3,14,0,2018
MO-606,Missouri Balance of State CoC,,1244,720,224,8,952,292,751,425,107,8,540,211,493,295,117,412,81,170,104,41,145,25,245,189,8,197,48,180,128,8,136,44,65,61,61,4,98,63,21,0,84,14,76,50,6,0,56,20,28,18,2,0,20,8,48,32,4,0,36,12,31,21,9,30,1,3,2,1,3,0,28,19,8,27,1,40,30,9,39,1,2017
MP-500,Northern Mariana Islands CoC,Rural CoCs,1044,22,0,0,22,1022,357,22,0,0,22,335,687,0,0,0,687,151,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
MP-500,Northern Mariana Islands CoC,,672,24,0,0,24,648,208,11,0,0,11,197,464,13,0,13,451,131,3,0,3,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
MS-500,"Jackson/Rankin, Madison Counties CoC",Suburban CoCs,446,114,195,0,309,137,362,83,142,0,225,137,84,31,53,84,0,36,13,23,36,0,172,47,0,47,125,152,27,0,27,125,20,20,20,0,44,0,10,0,10,34,39,16,0,0,16,23,6,6,0,0,6,0,33,10,0,0,10,23,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,3,3,0,3,0,2018
MS-500,"Jackson/Rankin, Madison Counties CoC",,511,85,146,0,231,280,450,57,113,0,170,280,61,28,33,61,0,21,10,11,21,0,20,13,0,13,7,9,2,0,2,7,11,11,11,0,0,0,0,0,0,0,20,20,0,0,20,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
MS-501,Mississippi Balance of State CoC,Rural CoCs,560,223,74,0,297,263,404,147,52,0,199,205,156,76,22,98,58,50,24,9,33,17,58,13,0,13,45,54,13,0,13,41,4,0,0,4,43,10,17,0,27,16,26,13,3,0,16,10,2,1,0,0,1,1,24,12,3,0,15,9,13,8,2,10,3,0,0,0,0,0,13,8,2,10,3,11,6,2,8,3,2018
MS-501,Mississippi Balance of State CoC,,697,299,152,0,451,246,465,163,97,0,260,205,232,136,55,191,41,66,36,17,53,13,33,9,0,9,24,33,9,0,9,24,0,0,0,0,51,10,28,0,38,13,30,15,5,0,20,10,1,0,1,0,1,0,29,15,4,0,19,10,9,2,1,3,6,0,0,0,0,0,9,2,1,3,6,14,3,3,6,8,2017
MS-503,Gulf Port/Gulf Coast Regional CoC,Rural CoCs,346,67,58,0,125,221,258,31,6,0,37,221,88,36,52,88,0,26,13,13,26,0,49,0,0,0,49,49,0,0,0,49,0,0,0,0,15,0,0,0,0,15,22,2,1,0,3,19,0,0,0,0,0,0,22,2,1,0,3,19,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,6,4,2,6,0,2018
MS-503,Gulf Port/Gulf Coast Regional CoC,,264,37,34,0,71,193,185,19,3,0,22,163,79,18,31,49,30,24,9,7,16,8,19,2,0,2,17,19,2,0,2,17,0,0,0,0,6,1,0,0,1,5,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
MT-500,Montana Statewide CoC,Rural CoCs,1405,793,239,0,1032,373,983,541,141,0,682,301,422,252,98,350,72,134,78,34,112,22,200,112,0,112,88,183,97,0,97,86,17,15,15,2,198,58,67,0,125,73,119,69,23,0,92,27,8,2,3,0,5,3,111,67,20,0,87,24,24,14,8,22,2,0,0,0,0,0,24,14,8,22,2,42,29,11,40,2,2018
MT-500,Montana Statewide CoC,,1529,748,237,0,985,544,987,517,116,0,633,354,542,231,121,352,190,169,75,42,117,52,198,75,0,75,123,182,73,0,73,109,16,2,2,14,205,67,58,0,125,80,106,53,13,0,66,40,14,6,3,0,9,5,92,47,10,0,57,35,21,5,11,16,5,0,0,0,0,0,21,5,11,16,5,24,6,13,19,5,2017
